Subset,Variable,Exclude,Avg_mean,Subset_mean,Delta,Avg_count,Subset_count,Avg_stdev,Subset_stdev,Significance
lifestage_2: Younger-Family (Age Oldest Child 1-12),D_Total # Children In Household,,0.614795009,1.649953575,1.035158566,5610,1077,1.018685474,0.819733669,22.1084666
lifestage_3: Post-Family - Income $80K or Less,D_Generation_N,,2.681653372,3.710059172,1.0284058,6895,1521,1.412172473,0.9648889,20.81277032
lifestage_2: Older-Family (Age Oldest Child 13-17),D_Older-Family - Income $80K or Less,,0.105843653,0.67866005,0.572816396,5168,806,0.307667175,0.467280959,20.52871413
lifestage_2: Older-Family (Age Oldest Child 13-17),D_Total # Children In Household,,0.614795009,1.941927991,1.327132982,5610,861,1.018685474,1.099204998,20.22340921
lifestage_3: Post-Family - Income Over $80K,D_Married Without Children,,0.365718375,0.845347313,0.479628938,5589,763,0.481674119,0.36181045,20.03662863
lifestage_2: Post-Family (No Children/Age Res 45+),D_Post-Family - Income $80K or Less,,0.294311146,0.664772727,0.370461582,5168,2288,0.45577658,0.472173051,19.2121378
lifestage: Married With Children,D_Total In Household,,2.626203209,3.893685052,1.267481843,5610,1251,1.390512906,1.272119526,19.02401014
lifestage_3: Younger-Family - Income $80K or Less,D_Total # Children In Household,,0.614795009,1.636118598,1.021323589,5610,742,1.018685474,0.859771194,18.04383655
lifestage_3: Older-Family - Income Over $80K,D_Married With Children,,0.223832528,0.864864865,0.641032337,5589,259,0.416848435,0.342529749,17.8334387
lifestage_3: Post-Family - Income Over $80K,D_Age Bracket,,50.00797679,60.38722295,10.37924615,6895,767,16.62206635,8.435440187,17.29185976
lifestage_2: Post-Family (No Children/Age Res 45+),D_Married Without Children,,0.365718375,0.678485093,0.312766717,5589,2482,0.481674119,0.467152006,16.72802682
lifestage_3: Pre-Family - Income $80K or Less,D_Single Without Children,,0.238504205,0.701219512,0.462715308,5589,820,0.426207052,0.458002752,16.6140629
lifestage_2: Younger-Family (Age Oldest Child 1-12),D_Married With Children,,0.223832528,0.646840149,0.423007621,5589,1076,0.416848435,0.478174101,16.50868451
lifestage_3: Older-Family - Income $80K or Less,D_Total # Children In Household,,0.614795009,2.007312614,1.392517605,5610,547,1.018685474,1.154677341,16.50384256
lifestage_3: Post-Family - Income Over $80K,D_Age 35 + / Income More than $70K / College Degree,,0.289001746,0.740208877,0.451207132,6301,766,0.453334703,0.438806412,16.33143671
generation: Millennials (1979 - ),Shop_First Vehicle Purch/Leased New ?,,0.248989975,0.586681343,0.337691368,6683,1817,0.432460347,0.492564587,16.16812196
lifestage_2: Pre-Family (No Children/Age Res <45),D_Single Without Children,,0.238504205,0.643573382,0.405069177,5589,1097,0.426207052,0.479161746,15.86676799
lifestage_2: Older-Family (Age Oldest Child 13-17),D_Total In Household,,2.626203209,4.004645761,1.378442552,5610,861,1.390512906,1.456333967,15.79783054
lifestage_3: Post-Family - Income Over $80K,D_Generation_N,,2.681653372,3.599739244,0.918085872,6895,767,1.412172473,0.88512508,15.39868507
generation: Millennials (1979 - ),D_Pre-Family (No Children/Age Res <45),,0.198661118,0.537331701,0.338670583,5527,1634,0.399028428,0.498757038,15.31197439
model: Subaru Legacy,PR_4WD/AWD Availability,,2.932134248,4.488479263,1.556345015,5393,217,1.494373792,0.855865379,15.30419161
"occupation: Administrative, Clerical",D_Gender_N,,1.45186863,1.859582543,0.407713913,7064,527,0.49771321,0.347749714,15.21318669
lifestage: Single With Children,D_Total # Children In Household,,0.614795009,1.738738739,1.12394373,5610,555,1.018685474,1.008194867,15.19143605
lifestage_2: Older-Family (Age Oldest Child 13-17),D_Married With Children,,0.223832528,0.647607935,0.423775406,5589,857,0.416848435,0.477994247,14.96981808
lifestage: Married With Children,D_Younger-Family (Age Oldest Child 1-12),,0.194861589,0.556354916,0.361493328,5527,1251,0.396129955,0.497012659,14.64055434
marital status: Married,D_Married Without Children,,0.365718375,0.620333839,0.254615464,5589,3295,0.481674119,0.485377448,14.56842256
lifestage_3: Younger-Family - Income Over $80K,D_Total # Children In Household,,0.614795009,1.69122807,1.076433061,5610,285,1.018685474,0.723907798,14.49991048
education: Post-Graduate Degree,D_Age 35 + / Income More than $70K / College Degree,,0.289001746,0.640468227,0.351466482,6301,1196,0.453334703,0.480063923,14.26142443
lifestage_2: Younger-Family (Age Oldest Child 1-12),D_Children 6 To 12,,0.234937611,0.873723305,0.638785694,5610,1077,0.593593934,0.855132313,14.24677861
model: Subaru WRX,PR_4WD/AWD Availability,,2.932134248,4.577777778,1.64564353,5393,135,1.494373792,0.777161566,14.21115963
lifestage_2: Younger-Family (Age Oldest Child 1-12),D_Children Under 6,,0.177896613,0.776230269,0.598333656,5610,1077,0.516523063,0.814067473,14.11639055
lifestage: Single Without Children,D_Pre-Family (No Children/Age Res <45),,0.198661118,0.536474164,0.337813046,5527,1316,0.399028428,0.498857432,13.92570745
lifestage: Married Without Children,D_Age Bracket,,50.00797679,58.23603422,8.228057428,6895,1987,16.62206635,13.7259228,13.61382884
lifestage: Married Without Children,D_Generation_N,,2.681653372,3.407649723,0.725996351,6895,1987,1.412172473,1.235959153,13.56303694
marital status: Other,D_Other Without Children,,0.023081052,0.74566474,0.722583688,5589,173,0.150174406,0.43675101,13.37824494
model: Subaru WRX,PR_Fun To Drive,,4.223808733,4.888888889,0.665080156,6023,144,0.9064793,0.336811688,13.21406075
"occupation: Teacher, Educator",D_Education_N,,5.420108776,7.024930748,1.604821972,6803,361,1.757469426,1.395205703,12.72745243
lifestage_2: Younger-Family (Age Oldest Child 1-12),D_Total In Household,,2.626203209,3.573816156,0.947612947,5610,1077,1.390512906,1.355623567,12.71008368
lifestage_3: Older-Family - Income Over $80K,D_Total # Children In Household,,0.614795009,1.818532819,1.20373781,5610,259,1.018685474,0.907486183,12.57110653
lifestage_3: Post-Family - Income Over $80K,D_Total Family Pre-Tax Income,,80.46763704,147.6531943,67.18555722,6458,767,68.15409225,86.78719923,12.5665472
lifestage_2: Younger-Family (Age Oldest Child 1-12),UF_Personal Use: Carrying Children in Back,,1.322171946,3.335616438,2.013444493,1105,146,1.521377495,1.032421975,12.5479675
problem: Moderate,Prob_How Many Problems with New Veh,,0.321212121,1.647058824,1.325846702,2145,170,0.810289717,0.809790423,12.42364792
generation: Matures (1945 and Earlier),D_Post-Family - Income $80K or Less,,0.294311146,0.746928747,0.452617601,5168,407,0.45577658,0.435306531,12.3153291
generation: Leading Edge Boomers (1946 - 1959),D_Married Without Children,,0.365718375,0.65881459,0.293096214,5589,1316,0.481674119,0.47428774,12.24855169
lifestage: Single Without Children,D_Pre-Family - Income $80K or Less,,0.158862229,0.459632294,0.300770065,5168,1251,0.365582935,0.498567091,12.20656907
lifestage_3: Older-Family - Income Over $80K,D_Total In Household,,2.626203209,4.150579151,1.524375942,5610,259,1.390512906,1.183097061,12.17887974
model: Subaru WRX,PSY_I prefer vehicles that provide superior acceleration,,3.71792976,4.69924812,0.981318361,5410,133,1.05036426,0.536331004,12.17728585
lifestage_3: Younger-Family - Income $80K or Less,D_Children Under 6,,0.177896613,0.797843666,0.619947053,5610,742,0.516523063,0.821174359,12.17235678
generation: Millennials (1979 - ),D_Pre-Family - Income $80K or Less,,0.158862229,0.428571429,0.269709199,5168,1568,0.365582935,0.495029538,12.14718872
generation: Trailing Edge Boomers (1960 - 1964),D_Age Bracket,,50.00797679,54.11830986,4.110333064,6895,710,16.62206635,1.370689536,12.07474629
lifestage_3: Older-Family - Income $80K or Less,D_Total In Household,,2.626203209,3.978062157,1.351858949,5610,547,1.390512906,1.533351297,12.04119619
marital status: Partnered,D_Partnered Without Children,,0.026838433,0.643776824,0.616938391,5589,233,0.161625509,0.47991323,12.01612109
lifestage: Married With Children,D_Older-Family (Age Oldest Child 13-17),,0.155780713,0.443645084,0.287864371,5527,1251,0.362680136,0.497012659,11.76814488
education: High School Graduate,D_Age 35 + / Income $70K or Less / No College Degree,,0.204570703,0.550480769,0.345910066,6301,832,0.403419582,0.49774438,11.71452609
model: Subaru WRX,PSY_I prefer a vehicle that has the capability to outperform others,,3.604375232,4.639097744,1.034722513,5394,133,1.063158195,0.594652252,11.66345193
generation: Leading Edge Boomers (1946 - 1959),D_Post-Family - Income $80K or Less,,0.294311146,0.590311987,0.296000841,5168,1218,0.45577658,0.491978116,11.65996044
lifestage_2: Pre-Family (No Children/Age Res <45),Shop_First Vehicle Purch/Leased New ?,,0.248989975,0.557059961,0.308069987,6683,1034,0.432460347,0.496973865,11.48466492
lifestage_3: Younger-Family - Income $80K or Less,D_Children 6 To 12,,0.234937611,0.838274933,0.603337321,5610,742,0.593593934,0.84938097,11.3866605
generation: Matures (1945 and Earlier),D_White/Caucasian,,0.694140566,0.91025641,0.216115844,6673,780,0.460805015,0.285997452,11.30549517
lifestage_3: Pre-Family - Income $80K or Less,Shop_First Vehicle Purch/Leased New ?,,0.248989975,0.58490566,0.335915686,6683,795,0.432460347,0.493048487,11.2072111
lifestage: Married With Children,D_Children 6 To 12,,0.234937611,0.686650679,0.451713068,5610,1251,0.593593934,0.827123723,11.11381861
lifestage: Married With Children,UF_Personal Use: Carrying Children in Back,,1.322171946,3.07804878,1.755876835,1105,205,1.521377495,1.226247303,10.94312676
generation: Millennials (1979 - ),D_Age < 35 / Income $70K or Less / No College Degree,,0.082209173,0.281063483,0.19885431,6301,1843,0.274704935,0.449640413,10.9392937
lifestage_3: Younger-Family - Income $80K or Less,UF_Personal Use: Carrying Children in Back,,1.322171946,3.425287356,2.103115411,1105,87,1.521377495,1.007324154,10.78341122
model: Subaru WRX,PSY_I prefer vehicles that provide superior handling and cornering agility,,4.087527757,4.812030075,0.724502318,5404,133,0.906676183,0.446372177,10.76668265
model: Subaru Impreza Sdn,PR_4WD/AWD Availability,,2.932134248,4.533333333,1.601199085,5393,90,1.494373792,0.837331234,10.63534908
generation: Millennials (1979 - ),D_Age < 35 / Income $70K or Less / College Degree,,0.078717664,0.269126424,0.19040876,6301,1843,0.269318964,0.443626168,10.62077459
marital status: Single,D_Single With Children,,0.099302201,0.293961864,0.194659664,5589,1888,0.299094098,0.455695375,10.52333018
model: Ford Fusion Energi,Shop_Purchase Price (100's),,27159.34451,37623.8,10464.45549,4354,25,5403.921078,2920.817266,10.36897115
occupation: Health Care,D_Gender_N,,1.45186863,1.76276771,0.31089908,7064,607,0.49771321,0.425736695,10.33163415
lifestage_3: Younger-Family - Income $80K or Less,D_Married With Children,,0.223832528,0.546558704,0.322726176,5589,741,0.416848435,0.498163824,10.27948013
lifestage_2: Post-Family (No Children/Age Res 45+),D_Post-Family - Income Over $80K,,0.148413313,0.335227273,0.18681396,5168,2288,0.355543614,0.472173051,10.27119771
model: Subaru WRX,PR_Overall Power and Pickup,,4.197292389,4.819444444,0.622152055,6057,144,0.852887279,0.420668429,10.23154041
lifestage: Single With Children,D_Younger-Family - Income $80K or Less,,0.143575851,0.516007533,0.372431682,5168,531,0.350693062,0.500214927,10.20682818
lifestage: Married Without Children,D_Post-Family - Income Over $80K,,0.148413313,0.354200988,0.205787676,5168,1821,0.355543614,0.478401851,10.1978099
lifestage: Single With Children,D_Younger-Family (Age Oldest Child 1-12),,0.194861589,0.554954955,0.360093366,5527,555,0.396129955,0.497419104,10.08699947
education: Some College,D_Age 35 + / Income More than $70K  / No College Degree,,0.135216632,0.347186701,0.211970068,6301,1564,0.341981952,0.476227996,10.06513242
lifestage_3: Younger-Family - Income $80K or Less,D_Total In Household,,2.626203209,3.543126685,0.916923476,5610,742,1.390512906,1.425675466,10.02557609
problem: Not Much Of A Problem,Prob_How Many Problems with New Veh,,0.321212121,1.418079096,1.096866975,2145,177,0.810289717,0.849672888,10.01742686
generation: Matures (1945 and Earlier),D_Married Without Children,,0.365718375,0.71888412,0.353165745,5589,466,0.481674119,0.450027048,9.902456357
lifestage_3: Older-Family - Income Over $80K,D_Age 35 + / Income More than $70K / College Degree,,0.289001746,0.74015748,0.451155735,6301,254,0.453334703,0.439413882,9.846892471
lifestage_2: Older-Family (Age Oldest Child 13-17),D_Older-Family - Income Over $80K,,0.050116099,0.32133995,0.271223851,5168,806,0.218205611,0.467280959,9.840200627
lifestage_3: Younger-Family - Income Over $80K,D_Total In Household,,2.626203209,3.726315789,1.100112581,5610,285,1.390512906,1.12690001,9.621648888
generation: Trailing Edge Boomers (1960 - 1964),D_Post-Family (No Children/Age Res 45+),,0.45069658,0.75,0.29930342,5527,592,0.497608253,0.433378886,9.618050728
lifestage_3: Post-Family - Income $80K or Less,D_Married Without Children,,0.365718375,0.586684245,0.22096587,5589,1517,0.481674119,0.492590898,9.477125833
lifestage_2: Younger-Family (Age Oldest Child 1-12),D_Younger-Family - Income Over $80K,,0.055147059,0.277507303,0.222360244,5168,1027,0.22828917,0.447987071,9.407670772
model: Subaru WRX,PR_Acceleration From Stop,,4.031105228,4.75,0.718894772,6044,144,0.93916848,0.535456148,9.393189053
marital status: Married,D_Married With Children,,0.223832528,0.379666161,0.155833633,5589,3295,0.416848435,0.485377448,9.343022301
occupation: Executive/Managerial - Retired,D_White/Caucasian,,0.694140566,0.939271255,0.245130689,6673,247,0.460805015,0.239317023,9.271697679
generation: Millennials (1979 - ),PSY_My vehicle is a reflection of my achievement,,3.142405063,3.721499617,0.579094554,5372,1307,1.29921708,1.223376776,9.20956043
model: Toyota Camry Hybrid,A_Mpg - City,,26.81672394,37.6969697,10.88024576,1746,33,6.73720167,3.909002818,9.185089916
lifestage: Married With Children,D_Children Under 6,,0.177896613,0.512390088,0.334493475,5610,1251,0.516523063,0.744342907,9.175832219
lifestage: Partnered Without Children,D_Marital Status_N,,1.767867272,3,1.232132728,7052,150,0.695121351,0,9.070825115
lifestage_3: Younger-Family - Income $80K or Less,D_Single With Children,,0.099302201,0.36977058,0.27046838,5589,741,0.299094098,0.483068543,9.036232572
lifestage_3: Pre-Family - Income $80K or Less,D_Age < 35 / Income $70K or Less / College Degree,,0.078717664,0.323170732,0.244453068,6301,820,0.269318964,0.467972736,8.892700161
model: Hyundai Sonata Hybrid,A_Mpg - City,,26.81672394,38.22727273,11.41054879,1746,44,6.73720167,4.950281347,8.890180127
lifestage: Married Without Children,D_Post-Family - Income $80K or Less,,0.294311146,0.488742449,0.194431304,5168,1821,0.45577658,0.50001056,8.873774865
"occupation: Police, Postal, Fire",UF_Personal Use: To and From Work,,2.925560538,3.954545455,1.028984916,1115,22,1.668383129,0.213200716,8.852993416
model: Buick Verano,D_Generation_N,,2.681653372,3.92760181,1.245948438,6895,221,1.412172473,1.24470082,8.828608205
generation: Generation X (1965 - 1978),D_Married With Children,,0.223832528,0.42741391,0.203581381,5589,1481,0.416848435,0.494870305,8.827640803
model: Subaru WRX,PSY_Driving is one of my favorite things to do,,3.738642634,4.601503759,0.862861126,5437,133,1.044415682,0.662180164,8.807989952
generation: Generation X (1965 - 1978),D_Total # Children In Household,,0.614795009,1.097708895,0.482913886,5610,1484,1.018685474,1.171944517,8.804703423
lifestage: Other With Children,D_Marital Status_N,,1.767867272,4,2.232132728,7052,44,0.695121351,0,8.794409801
model: Ford Fusion Hybrid,A_Mpg - City,,26.81672394,42.61904762,15.80232368,1746,21,6.73720167,4.716738179,8.794405797
marital status: Single,D_Pre-Family (No Children/Age Res <45),,0.198661118,0.377338322,0.178677204,5527,1871,0.399028428,0.484850241,8.731032665
model: Buick Verano,D_Age Bracket,,50.00797679,65.4841629,15.4761861,6895,221,16.62206635,15.74991985,8.689700079
lifestage_3: Post-Family - Income $80K or Less,D_Age 35 + / Income $70K or Less / No College Degree,,0.204570703,0.398154252,0.193583549,6301,1517,0.403419582,0.489678986,8.673184156
model: Subaru WRX,PSY_I chose my vehicle to reward myself for my hard work,,3.351536468,4.368421053,1.016884585,5402,133,1.264313147,0.792710007,8.663756573
model: Buick Regal,Shop_Purchase Price (100's),,27159.34451,32798.38519,5639.040674,4354,135,5403.921078,4492.887528,8.613473647
lifestage_3: Younger-Family - Income Over $80K,D_Total Family Pre-Tax Income,,80.46763704,139.4736842,59.00604717,6458,285,68.15409225,68.80957221,8.588560886
lifestage_3: Older-Family - Income $80K or Less,D_Married With Children,,0.223832528,0.534926471,0.311093942,5589,544,0.416848435,0.499237719,8.578270347
generation: Millennials (1979 - ),D_Age < 35 / Income More than $70K / College Degree,,0.056181558,0.192078133,0.135896575,6301,1843,0.230290268,0.394041079,8.545353895
education: Some College,D_Age 35 + / Income $70K or Less / No College Degree,,0.204570703,0.391943734,0.187373031,6301,1564,0.403419582,0.488340375,8.524418624
ethnicity: African American/Black,PSY_I want to look good when driving my vehicle,,3.787968808,4.318452381,0.530483573,5386,672,1.099663186,0.905234974,8.475595685
generation: Millennials (1979 - ),PSY_I chose my vehicle to reward myself for my hard work,,3.351536468,3.852784134,0.501247666,5402,1311,1.264313147,1.152026869,8.419272406
model: Subaru WRX,PR_Passing Capability,,4.093941909,4.729166667,0.635224758,6025,144,0.912400632,0.531770364,8.368922918
generation: Leading Edge Boomers (1946 - 1959),D_White/Caucasian,,0.694140566,0.839565742,0.145425175,6673,1658,0.460805015,0.367119048,8.351569464
model: Honda Accord Hybrid Sdn,A_Mpg - City,,26.81672394,43.51724138,16.70051744,1746,29,6.73720167,6.271367416,8.350374257
lifestage: Married With Children,D_Younger-Family - Income $80K or Less,,0.143575851,0.343220339,0.199644488,5168,1180,0.350693062,0.474985614,8.265193625
ethnicity: African American/Black,PSY_I chose my vehicle to reward myself for my hard work,,3.351536468,4,0.648463532,5402,676,1.264313147,1.16109782,8.226674718
generation: Millennials (1979 - ),PSY_I want to look good when driving my vehicle,,3.787968808,4.187308869,0.39934006,5386,1308,1.099663186,0.920359419,8.215229486
lifestage_3: Older-Family - Income $80K or Less,D_Single With Children,,0.099302201,0.386029412,0.286727211,5589,544,0.299094098,0.487285531,8.198136799
lifestage_3: Younger-Family - Income Over $80K,D_Children 6 To 12,,0.234937611,0.940350877,0.705413266,5610,285,0.593593934,0.872074516,8.1792677
generation: Generation X (1965 - 1978),D_Older-Family (Age Oldest Child 13-17),,0.155780713,0.332884097,0.177103384,5527,1484,0.362680136,0.471404307,8.158810765
problem: No Problems,D_Age Bracket,,50.00797679,56.17654099,6.168564199,6895,1671,16.62206635,16.91565764,8.153721045
marital status: Single,D_Pre-Family - Income $80K or Less,,0.158862229,0.322671156,0.163808927,5168,1782,0.365582935,0.467629336,8.153676857
lifestage: Single With Children,D_Older-Family - Income $80K or Less,,0.105843653,0.395480226,0.289636573,5168,531,0.307667175,0.489414653,8.132308279
lifestage: Single With Children,D_Older-Family (Age Oldest Child 13-17),,0.155780713,0.445045045,0.289264332,5527,555,0.362680136,0.497419104,8.127754015
problem: No Problems,D_Generation_N,,2.681653372,3.196289647,0.514636275,6895,1671,1.412172473,1.430969898,8.034824315
lifestage_3: Pre-Family - Income Over $80K,D_Total Family Pre-Tax Income,,80.46763704,137.1681416,56.70050455,6458,226,68.15409225,62.99162592,8.030098258
lifestage_2: Post-Family (No Children/Age Res 45+),D_White/Caucasian,,0.694140566,0.821518987,0.127378421,6673,2370,0.460805015,0.382997956,8.029476562
lifestage: Married With Children,D_Younger-Family - Income Over $80K,,0.055147059,0.220338983,0.165191924,5168,1180,0.22828917,0.414650966,8.010461566
lifestage_2: Pre-Family (No Children/Age Res <45),D_Pre-Family - Income Over $80K,,0.04373065,0.215854823,0.172124173,5168,1047,0.204514972,0.411610661,7.990335159
lifestage_3: Post-Family - Income Over $80K,D_Education_N,,5.420108776,6.229765013,0.809656238,6803,766,1.757469426,1.61834312,7.899805673
lifestage_2: Younger-Family (Age Oldest Child 1-12),D_Single With Children,,0.099302201,0.286245353,0.186943152,5589,1076,0.299094098,0.452215663,7.896231296
generation: Millennials (1979 - ),PR_Ease Of Customizing,,2.73660631,3.293745608,0.557139298,5357,1423,1.466793986,1.434263837,7.875752999
lifestage: Single With Children,D_Gender_N,,1.45186863,1.711711712,0.259843082,7064,555,0.49771321,0.453374579,7.832521431
occupation: Professional Specialty,D_Education_N,,5.420108776,6.348659004,0.928550228,6803,522,1.757469426,1.577519653,7.79851791
generation: Millennials (1979 - ),PSY_I want to be able to traverse any terrain,,2.231102733,2.806870229,0.575767496,5305,1310,1.376013821,1.488981217,7.726926149
generation: Millennials (1979 - ),PSY_My vehicle is my sanctuary,,3.301862197,3.76394194,0.462079743,5370,1309,1.235508766,1.164608733,7.725529563
lifestage_3: Post-Family - Income Over $80K,D_White/Caucasian,,0.694140566,0.865153538,0.171012972,6673,749,0.460805015,0.341787741,7.651072211
dispose segment: Smaller Car,Shop_Brand Household Loyal,,0.531176345,0.690332326,0.159155982,4667,1986,0.499080561,0.462473026,7.64197701
lifestage_2: Pre-Family (No Children/Age Res <45),D_Age < 35 / Income $70K or Less / College Degree,,0.078717664,0.25334608,0.174628416,6301,1046,0.269318964,0.43513545,7.624523494
occupation: Student,Shop_First Vehicle Purch/Leased New ?,,0.248989975,0.866666667,0.617676692,6683,45,0.432460347,0.343775825,7.595961866
lifestage_3: Pre-Family - Income Over $80K,D_Age < 35 / Income More than $70K / College Degree,,0.056181558,0.469026549,0.41284499,6301,226,0.230290268,0.500147471,7.565802502
dispose segment: Larger Car,D_Age Bracket,,50.00797679,59.41651376,9.408536967,6895,545,16.62206635,16.98888323,7.565702674
model: Subaru WRX,Shop_Purchase Price (100's),,27159.34451,33293.376,6134.031489,4354,125,5403.921078,5392.844309,7.565328637
model: Honda Accord Sdn,PR_Past Experience With Brand,,4.001770538,4.486590038,0.4848195,5648,522,1.197067302,0.810684564,7.564818507
occupation: Executive/Managerial,D_Age 35 + / Income More than $70K / College Degree,,0.289001746,0.534682081,0.245680335,6301,692,0.453334703,0.499156496,7.556828401
generation: Leading Edge Boomers (1946 - 1959),D_Post-Family - Income Over $80K,,0.148413313,0.326765189,0.178351876,5168,1218,0.355543614,0.469223256,7.553373911
ethnicity: African American/Black,"PSY_I prefer vehicles that provide the softest, most comfortable ride quality",,4.142883583,4.518409426,0.375525842,5403,679,0.93233631,0.720045764,7.498522361
marital status: Single,Shop_First Vehicle Purch/Leased New ?,,0.248989975,0.390434783,0.141444808,6683,2300,0.432460347,0.487953875,7.490743485
model: Subaru WRX,PR_Engine Performance,,4.337186262,4.819444444,0.482258183,6056,144,0.781438853,0.452696316,7.461724301
education: College Graduate,D_Age 35 + / Income $70K or Less / College Degree,,0.130931598,0.262836807,0.131905209,6301,1967,0.337352303,0.440286466,7.402842924
occupation: Executive/Managerial - Retired,D_Married Without Children,,0.365718375,0.761627907,0.395909532,5589,172,0.481674119,0.427331884,7.374296811
ethnicity: African American/Black,PR_Towing Capability,,2.577997022,3.30362117,0.725624148,5372,718,1.477209679,1.507679359,7.371609539
ethnicity: African American/Black,PSY_I want vehicles that provide that open-air driving experience,,3.412158394,3.933234421,0.521076028,5379,674,1.146018772,1.044333432,7.33076463
lifestage: Partnered With Children,UF_Personal Use: Carrying Children in Back,,1.322171946,3.666666667,2.344494721,1105,9,1.521377495,0.5,7.294685779
lifestage: Other Without Children,D_Post-Family - Income $80K or Less,,0.294311146,0.765217391,0.470906246,5168,115,0.45577658,0.425717862,7.292801726
lifestage_3: Younger-Family - Income Over $80K,UF_Personal Use: Carrying Children in Back,,1.322171946,3.222222222,1.900050277,1105,54,1.521377495,1.093146172,7.292211548
lifestage: Married With Children,PSY_I make all large vehicle decisions with my family's best interest in mind,,3.568642161,4.065834279,0.497192119,5332,881,1.386206196,1.092423084,7.291411007
education: College Graduate,D_Age 35 + / Income More than $70K / College Degree,,0.289001746,0.439247585,0.150245839,6301,1967,0.453334703,0.496421624,7.265824447
state: Iowa,D_White/Caucasian,,0.694140566,0.979166667,0.2850261,6673,48,0.460805015,0.144337567,7.265174607
ethnicity: African American/Black,PR_Ease Of Customizing,,2.73660631,3.42877095,0.69216464,5357,716,1.466793986,1.455814154,7.248390176
lifestage: Married Without Children,D_White/Caucasian,,0.694140566,0.817805383,0.123664817,6673,1932,0.460805015,0.386104779,7.23459653
generation: Millennials (1979 - ),D_Younger-Family (Age Oldest Child 1-12),,0.194861589,0.348837209,0.153975621,5527,1634,0.396129955,0.476748267,7.220303922
lifestage: Other Without Children,D_Post-Family (No Children/Age Res 45+),,0.45069658,0.837209302,0.386512722,5527,129,0.497608253,0.370613884,7.21974336
dispose segment: Larger Car,D_Generation_N,,2.681653372,3.431192661,0.749539289,6895,545,1.412172473,1.416596561,7.218698414
generation: Millennials (1979 - ),PSY_I'm Curious and Open to Experiences,,3.860003709,4.177591463,0.317587755,5393,1312,0.958843618,0.84569227,7.212665465
ethnicity: African American/Black,"PR_Interest Rate, Credit Terms",,3.964668094,4.399728997,0.435060903,5604,738,1.2427196,0.887941184,7.205909248
lifestage_3: Older-Family - Income Over $80K,D_Total Family Pre-Tax Income,,80.46763704,158.3011583,77.83352126,6458,259,68.15409225,104.5181359,7.198858078
lifestage_3: Younger-Family - Income Over $80K,D_Children Under 6,,0.177896613,0.750877193,0.57298058,5610,285,0.516523063,0.807779692,7.182221988
dispose segment: Did Not Dispose,PT_Needed an additional vehicle,,0.067084759,0.244013683,0.176928924,5262,877,0.250192505,0.429745959,7.180183079
education: College Graduate,D_Age < 35 / Income $70K or Less / College Degree,,0.078717664,0.191154042,0.112436378,6301,1967,0.269318964,0.393310079,7.16283446
lifestage_2: Older-Family (Age Oldest Child 13-17),D_Single With Children,,0.099302201,0.288214702,0.188912502,5589,857,0.299094098,0.453196034,7.161664079
lifestage: Married With Children,D_Older-Family - Income Over $80K,,0.050116099,0.189830508,0.139714409,5168,1180,0.218205611,0.39233319,7.14362821
region: Central Region,D_White/Caucasian,,0.694140566,0.832554517,0.138413951,6673,1284,0.460805015,0.373518608,7.142856662
generation: Millennials (1979 - ),PSY_I see my vehicle as an extension of my personality,,3.598333333,3.987042683,0.38870935,5400,1312,1.177817525,1.059906493,7.078053485
