Respondent,First New,Type of Sale,Marriage Status,Education Level,Race,Ownership,Age,Grade,Previous Model,Miles / Day,City Driving,Highway Driving,Rural Driving,Income Group
1029453437,0,Lease,Living With Sig Oth/Dom Prtnr,Post graduate study/degree,White,Short,2,SR,1,Low,0,1,0,"$150,001-$200,000"
1029456312,1,Buy,Divorced/Widowed/Separated,High school graduate or less,Hispanic,Short,5,SR,1,High,0,1,1,"$30,000-$50,000"
1029457130,0,Buy,Divorced/Widowed/Separated,College graduate,White,Long,4,SV,0,High,0,1,0,"$75,001-$100,000"
1029458161,0,Buy,Single/Not Married,High school graduate or less,Hispanic,Long,4,SL,0,Low,1,0,0,"$30,000-$50,000"
1029458196,0,Buy,Married,Some college,Hispanic,Medium,3,SV,0,Low,1,0,0,"$30,000-$50,000"
1029534704,1,Buy,Single/Not Married,Post graduate study/degree,Hispanic,Long,2,S,0,Medium,1,0,0,"$30,000-$50,000"
1029581893,0,Buy,Married,College graduate,White,Medium,4,SR,0,Medium,0,1,0,"$50,001-$75,000"
1029584108,0,Buy,Divorced/Widowed/Separated,Some college,Hispanic,Long,4,S,0,Low,1,0,0,"$50,001-$75,000"
1029586356,0,Buy,Single/Not Married,College graduate,White,Medium,2,SR,0,High,1,1,1,"$50,001-$75,000"
1029587174,1,Buy,Married,High school graduate or less,African-American/Black,Long,5,SL,0,Low,1,0,0,"$50,001-$75,000"
1029715164,0,Lease,Married,Some college,White,Short,5,SV,0,Medium,0,0,1,"$75,001-$100,000"
1029718023,0,Buy,Married,Some college,Hispanic,Long,4,SR,1,High,1,1,0,"$50,001-$75,000"
1029718910,0,Special,Married,College graduate,Asian,Long,4,S,0,Medium,1,1,0,"$50,001-$75,000"
1029719801,0,Buy,Living With Sig Oth/Dom Prtnr,Some college,White,Medium,1,S,1,Medium,1,0,1,"$30,000-$50,000"
1029721474,0,Lease,Married,Post graduate study/degree,White,Long,6,S,1,High,0,1,0,"$30,000-$50,000"
1029722519,1,Buy,Married,College graduate,White,Long,3,SR,1,Medium,0,0,0,"$100,001-$150,000"
1029722705,1,Buy,Single/Not Married,College graduate,White,Long,1,SV,1,High,0,1,0,"Under $30,000"
1029722829,0,Buy,Married,Post graduate study/degree,White,Medium,4,S,0,Medium,0,1,0,"$30,000-$50,000"
1029723477,0,Buy,Married,Post graduate study/degree,Pref not to answer,Long,6,SL,0,Low,1,0,0,"$50,001-$75,000"
1029723701,1,Buy,Divorced/Widowed/Separated,High school graduate or less,White,Medium,4,SR,0,Low,1,0,0,"$30,000-$50,000"
1029723736,0,Buy,Divorced/Widowed/Separated,Some college,African-American/Black,Long,5,SV,1,Medium,1,0,0,"Under $30,000"
1029795753,0,Buy,Married,High school graduate or less,White,Long,5,S,1,Medium,0,1,0,"$50,001-$75,000"
1029797063,1,Buy,Single/Not Married,Post graduate study/degree,Other,Long,3,S,1,Medium,1,0,0,"$30,000-$50,000"
1029880114,0,Buy,Married,College graduate,White,Long,3,SR,1,Medium,0,1,0,"$75,001-$100,000"
1029880289,0,Buy,Divorced/Widowed/Separated,College graduate,Hispanic,Long,4,S,1,Low,1,0,0,"$50,001-$75,000"
1029881030,0,Buy,Living With Sig Oth/Dom Prtnr,Some college,White,Long,3,SV,1,High,0,1,0,"$100,001-$150,000"
1029881137,0,Buy,Divorced/Widowed/Separated,Some college,Hispanic,Long,5,SR,1,Low,0,0,1,"$30,000-$50,000"
1029881471,1,Buy,Single/Not Married,High school graduate or less,Hispanic,Long,5,S,1,Medium,0,1,0,"$30,000-$50,000"
1029883997,1,Lease,Married,Some college,White,Short,6,SV,0,Medium,1,0,0,"$30,000-$50,000"
1029885183,0,Lease,Divorced/Widowed/Separated,Some college,African-American/Black,Long,4,SV,1,Medium,1,0,0,"$100,001-$150,000"
1029885442,1,Special,Single/Not Married,Post graduate study/degree,African-American/Black,Long,3,SR,1,High,0,1,0,"$30,000-$50,000"
1029885507,1,Buy,Living With Sig Oth/Dom Prtnr,Some college,Hispanic,Long,2,SV,0,Medium,1,1,0,"Under $30,000"
1029886350,1,Buy,Single/Not Married,College graduate,White,Long,3,SR,1,High,1,1,0,"$50,001-$75,000"
1029890802,0,Buy,Single/Not Married,Some college,African-American/Black,Long,2,SV,1,Low,1,0,0,"$30,000-$50,000"
1029892988,0,Lease,Married,Some college,White,Medium,6,SV,0,Medium,1,0,0,"$30,000-$50,000"
1030000599,1,Buy,Married,High school graduate or less,White,Long,4,S,1,Low,1,0,0,"$30,000-$50,000"
1030051444,0,Buy,Single/Not Married,College graduate,White,Short,3,SV,0,Low,1,0,0,"$30,000-$50,000"
1030051851,1,Buy,Married,College graduate,White,Long,1,SR,1,Medium,1,0,0,"$75,001-$100,000"
1030052050,0,Buy,Married,College graduate,Asian,Long,2,SV,1,Medium,1,1,0,"$100,001-$150,000"
1030052513,1,Buy,Living With Sig Oth/Dom Prtnr,Some college,Hispanic,Long,2,S,1,Medium,1,0,0,"Under $30,000"
1030052807,0,Buy,Single/Not Married,College graduate,Hispanic,Long,5,S,1,Low,1,1,0,"$30,000-$50,000"
1030053153,1,Buy,Single/Not Married,College graduate,Hispanic,Long,2,SV,1,Medium,0,1,1,"$50,001-$75,000"
1030053854,0,Buy,Living With Sig Oth/Dom Prtnr,Post graduate study/degree,White,Long,4,SV,1,Very High,0,1,1,"$75,001-$100,000"
1030055326,0,Lease,Single/Not Married,Some college,White,Medium,5,SV,0,Medium,0,1,0,"$30,000-$50,000"
1030055539,1,Buy,Living With Sig Oth/Dom Prtnr,Post graduate study/degree,Pref not to answer,Long,3,SR,1,Very High,1,1,1,"$30,000-$50,000"
1030055547,1,Buy,Married,High school graduate or less,Hispanic,Long,2,S,0,Medium,1,0,0,"Under $30,000"
1030056519,0,Buy,Married,Some college,Hispanic,Medium,6,SL,1,Low,1,0,0,"$30,000-$50,000"
1030056578,0,Buy,Married,College graduate,White,Long,4,S,1,High,0,1,0,"$75,001-$100,000"
1030058139,0,Buy,Single/Not Married,Post graduate study/degree,White,Long,4,S,0,High,1,0,0,"$50,001-$75,000"
1030058767,0,Buy,Divorced/Widowed/Separated,Some college,Asian,Long,6,SR,0,Low,0,1,1,"$100,001-$150,000"
1030059186,0,Buy,Married,Some college,Asian,Long,4,S,1,Medium,1,0,0,"$100,001-$150,000"
1030060273,1,Buy,Single/Not Married,Post graduate study/degree,Pref not to answer,Long,3,SV,0,Medium,1,0,0,"$50,001-$75,000"
1030061709,0,Buy,Married,College graduate,Other,Short,5,SV,0,High,0,0,1,"$75,001-$100,000"
1030061725,0,Lease,Married,Some college,White,Long,5,S,0,Low,1,0,0,"$50,001-$75,000"
1030061849,1,Special,Living With Sig Oth/Dom Prtnr,Some college,White,Long,1,SR,1,High,1,0,0,"Under $30,000"
1030063019,0,Lease,Married,College graduate,White,Medium,2,SV,0,Low,1,0,0,"$50,001-$75,000"
1030063370,0,Buy,Divorced/Widowed/Separated,High school graduate or less,Hispanic,Long,3,S,1,High,0,0,0,"Under $30,000"
1030063477,0,Buy,Married,Some college,Hispanic,Long,5,SL,0,Low,1,0,0,"$50,001-$75,000"
1030162440,0,Lease,Divorced/Widowed/Separated,Post graduate study/degree,White,Medium,6,S,0,High,1,0,0,"$50,001-$75,000"
1030164249,0,Buy,Married,College graduate,Asian,Long,5,S,1,Medium,1,1,0,"$30,000-$50,000"
1030219647,1,Buy,Married,College graduate,White,Long,2,SR,1,Medium,1,1,0,"$50,001-$75,000"
1030221358,1,Lease,Single/Not Married,Some college,White,Long,2,S,1,High,0,1,0,"Under $30,000"
1030226473,0,Buy,Married,College graduate,White,Long,3,SL,1,Medium,0,1,1,"$75,001-$100,000"
1030227070,0,Buy,Married,College graduate,Hispanic,Long,5,SR,1,Low,1,0,0,"$75,001-$100,000"
1030227208,0,Buy,Married,Post graduate study/degree,African-American/Black,Long,4,S,1,Low,1,1,1,"$75,001-$100,000"
1030227364,0,Lease,Divorced/Widowed/Separated,Some college,White,Long,6,SV,1,Low,1,0,0,"$30,000-$50,000"
1030228298,0,Buy,Living With Sig Oth/Dom Prtnr,Some college,Other,Medium,2,SL,0,Low,0,1,0,"$30,000-$50,000"
1030228573,0,Lease,Married,High school graduate or less,White,Medium,5,SR,0,Low,1,0,0,"$30,000-$50,000"
1030228689,0,Lease,Divorced/Widowed/Separated,Post graduate study/degree,African-American/Black,Long,5,SV,1,Medium,1,0,0,"$30,000-$50,000"
1030228816,0,Buy,Single/Not Married,Some college,Native American,Long,4,SV,1,Low,1,0,0,"$30,000-$50,000"
1030229731,0,Buy,Single/Not Married,College graduate,White,Long,3,S,1,High,0,1,0,"$50,001-$75,000"
1030229820,0,Buy,Married,College graduate,White,Medium,4,SL,0,Medium,0,1,0,"$150,001-$200,000"
1030233089,0,Buy,Divorced/Widowed/Separated,Some college,Pref not to answer,Long,5,SV,0,Medium,1,1,0,"Under $30,000"
1030233135,0,Lease,Married,Some college,White,Medium,6,SV,1,Medium,1,0,0,"$75,001-$100,000"
1030234638,1,Buy,Married,Some college,Hispanic,Long,2,SR,1,Low,0,1,0,"$30,000-$50,000"
1030348927,0,Buy,Divorced/Widowed/Separated,Some college,African-American/Black,Long,5,S,1,Low,1,0,0,"Under $30,000"
1030403669,1,Buy,Married,Some college,White,Short,3,SR,0,Low,1,0,0,"$30,000-$50,000"
1030404959,0,Buy,Living With Sig Oth/Dom Prtnr,Post graduate study/degree,White,Long,4,SV,0,High,0,1,0,"$50,001-$75,000"
1030406285,0,Buy,Divorced/Widowed/Separated,Some college,African-American/Black,Long,5,S,1,Medium,0,1,0,"$30,000-$50,000"
1030406854,0,Buy,Divorced/Widowed/Separated,Some college,Hispanic,Long,4,SV,0,Medium,1,0,0,"$30,000-$50,000"
1030408474,0,Buy,Divorced/Widowed/Separated,High school graduate or less,African-American/Black,Medium,5,SR,0,High,1,0,0,"Under $30,000"
1030408636,1,Buy,Single/Not Married,College graduate,Hispanic,Long,1,S,1,Low,1,1,0,"$30,000-$50,000"
1030409993,0,Buy,Divorced/Widowed/Separated,College graduate,Pref not to answer,Short,3,SV,0,Medium,0,1,0,"$50,001-$75,000"
1030410479,0,Lease,Married,High school graduate or less,White,Short,6,SR,0,Medium,1,1,0,"$75,001-$100,000"
1030410630,0,Buy,Married,College graduate,White,Medium,4,SL,1,High,0,1,0,"$50,001-$75,000"
1030411165,1,Buy,Married,Post graduate study/degree,White,Medium,6,S,0,High,0,0,1,"$50,001-$75,000"
1030413141,0,Buy,Living With Sig Oth/Dom Prtnr,High school graduate or less,White,Long,2,SV,0,Medium,1,1,0,"Under $30,000"
1030414563,0,Buy,Married,Some college,White,Short,6,SV,1,Low,1,0,0,"$30,000-$50,000"
1030415675,0,Lease,Single/Not Married,College graduate,Hispanic,Short,1,SV,0,Medium,1,0,0,"Under $30,000"
1030567157,0,Buy,Married,Some college,White,Short,6,SV,0,Low,0,1,0,"$50,001-$75,000"
1030569311,0,Buy,Married,Some college,White,Short,4,SV,0,Medium,1,0,0,"$50,001-$75,000"
1030569494,0,Buy,Married,Some college,White,Short,3,SL,1,Medium,1,0,0,"$50,001-$75,000"
1030570328,0,Lease,Divorced/Widowed/Separated,Some college,White,Medium,5,SV,0,Low,1,0,0,"$30,000-$50,000"
1030572010,0,Lease,Married,Some college,White,Short,5,SR,0,Medium,1,0,0,"$50,001-$75,000"
1030572169,1,Lease,Single/Not Married,College graduate,Hispanic,Long,1,SR,1,Medium,0,1,1,"$30,000-$50,000"
1030575320,0,Buy,Married,Some college,White,Long,6,SR,1,Medium,0,1,1,"$75,001-$100,000"
1030575850,0,Lease,Divorced/Widowed/Separated,Post graduate study/degree,White,Short,6,SV,0,Medium,1,0,0,"$50,001-$75,000"
1030577276,0,Buy,Single/Not Married,Post graduate study/degree,Pref not to answer,Medium,2,SR,1,Medium,1,0,0,"Under $30,000"
1030578469,0,Buy,Divorced/Widowed/Separated,Some college,White,Short,4,SV,1,Low,1,0,0,"$30,000-$50,000"
1030578582,0,Buy,Married,High school graduate or less,White,Long,5,SL,1,Medium,1,1,1,"$50,001-$75,000"
1030578604,0,Lease,Divorced/Widowed/Separated,Some college,African-American/Black,Medium,6,SR,0,Low,0,1,0,"$50,001-$75,000"
1030578752,1,Buy,Single/Not Married,Some college,Pref not to answer,Long,1,SV,1,High,0,1,0,"$100,001-$150,000"
1030579376,0,Buy,Single/Not Married,College graduate,White,Long,2,S,0,Medium,1,0,0,"$30,000-$50,000"
1030580021,0,Buy,Married,Post graduate study/degree,White,Long,5,SL,0,Medium,1,0,0,"$75,001-$100,000"
1030580684,0,Buy,Married,Some college,White,Long,3,S,1,Low,1,0,0,"$75,001-$100,000"
1030581958,0,Lease,Married,Post graduate study/degree,African-American/Black,Short,5,SR,1,Medium,1,0,0,"$50,001-$75,000"
1030582547,1,Lease,Single/Not Married,College graduate,White,Medium,2,SL,1,High,1,1,1,"$75,001-$100,000"
1030582555,0,Lease,Divorced/Widowed/Separated,Some college,White,Short,6,SL,1,Medium,1,0,0,"$30,000-$50,000"
1030584299,0,Lease,Married,College graduate,White,Medium,5,SL,0,Medium,1,1,0,"$100,001-$150,000"
1030753767,0,Lease,Married,High school graduate or less,White,Medium,4,SL,0,Medium,1,1,0,"$30,000-$50,000"
1030753830,0,Buy,Divorced/Widowed/Separated,Some college,Hispanic,Long,2,SV,0,High,1,1,0,"$30,000-$50,000"
1030754399,0,Buy,Single/Not Married,Post graduate study/degree,White,Medium,4,SL,0,Low,1,0,0,"$75,001-$100,000"
1030755255,0,Buy,Married,College graduate,African-American/Black,Long,3,S,1,Medium,0,1,0,"$75,001-$100,000"
1030755867,0,Lease,Married,Post graduate study/degree,Pref not to answer,Medium,4,SV,0,Medium,1,0,0,"$50,001-$75,000"
1030756766,1,Buy,Divorced/Widowed/Separated,College graduate,White,Long,3,SV,1,Low,1,0,0,"Under $30,000"
1030756774,0,Lease,Living With Sig Oth/Dom Prtnr,College graduate,White,Long,1,SR,0,Low,1,1,0,"$75,001-$100,000"
1030757061,0,Buy,Single/Not Married,High school graduate or less,African-American/Black,Medium,5,SR,0,High,1,1,0,"$50,001-$75,000"
1030757142,1,Special,Married,High school graduate or less,White,Long,2,SV,0,Low,1,0,0,"Under $30,000"
1030760771,1,Buy,Single/Not Married,College graduate,White,Long,2,SR,1,Low,1,0,0,"$30,000-$50,000"
1030760798,0,Buy,Married,Some college,White,Long,4,S,1,Low,0,0,1,"$50,001-$75,000"
1030760879,1,Lease,Married,Some college,White,Long,3,SR,1,Medium,1,0,0,"$75,001-$100,000"
1030761301,0,Buy,Single/Not Married,Some college,White,Medium,5,SL,0,Medium,1,0,0,"$50,001-$75,000"
1030761336,0,Lease,Divorced/Widowed/Separated,Some college,White,Medium,5,SR,0,Medium,1,1,0,"$50,001-$75,000"
1030762111,0,Buy,Divorced/Widowed/Separated,College graduate,White,Long,6,S,1,Low,1,0,0,"$50,001-$75,000"
1030762936,0,Buy,Divorced/Widowed/Separated,Some college,White,Short,4,SV,0,Low,1,0,0,"$30,000-$50,000"
1030763959,0,Lease,Married,Some college,White,Medium,2,SR,0,Low,1,0,0,"$75,001-$100,000"
1030764289,0,Buy,Divorced/Widowed/Separated,Some college,White,Long,5,SV,0,Low,1,0,0,"$30,000-$50,000"
1030764785,0,Buy,Married,High school graduate or less,White,Long,5,SV,1,Low,1,0,0,"$50,001-$75,000"
1030767180,0,Buy,Divorced/Widowed/Separated,Some college,White,Short,6,SV,0,Low,1,0,0,"$30,000-$50,000"
1030880033,0,Lease,Married,College graduate,White,Long,1,S,1,Low,1,1,0,"$50,001-$75,000"
1030964598,0,Buy,Divorced/Widowed/Separated,Some college,White,Long,6,SL,1,Medium,1,1,0,"Under $30,000"
1030964725,1,Buy,Married,High school graduate or less,White,Long,4,S,1,Low,1,0,0,"$30,000-$50,000"
1030964814,0,Buy,Married,High school graduate or less,Hispanic,Long,4,SV,0,Medium,1,0,0,"$30,000-$50,000"
1030964938,0,Special,Married,Post graduate study/degree,White,Long,5,SV,1,Medium,1,0,0,"$50,001-$75,000"
1030966167,0,Buy,Divorced/Widowed/Separated,High school graduate or less,White,Long,5,SL,1,Low,1,0,0,"Under $30,000"
1030966507,0,Special,Married,Post graduate study/degree,White,Long,6,SR,0,Medium,0,1,0,"$30,000-$50,000"
1030967490,0,Lease,Divorced/Widowed/Separated,Some college,White,Short,6,SV,0,Low,0,1,0,"$50,001-$75,000"
1030968437,0,Buy,Single/Not Married,High school graduate or less,Pref not to answer,Short,1,SV,1,Medium,0,1,0,"$50,001-$75,000"
1030969000,0,Buy,Married,High school graduate or less,White,Long,5,SR,1,Medium,0,1,0,"$50,001-$75,000"
1030969018,0,Buy,Divorced/Widowed/Separated,High school graduate or less,White,Long,5,SR,1,Low,0,1,0,"$30,000-$50,000"
1030969409,0,Buy,Married,Some college,White,Long,6,SL,0,Medium,0,0,1,"$150,001-$200,000"
1030970520,0,Buy,Single/Not Married,Post graduate study/degree,Asian,Short,1,S,1,Medium,1,1,0,"Under $30,000"
1030970610,0,Lease,Married,Post graduate study/degree,White,Medium,5,SL,0,Low,1,0,0,"$100,001-$150,000"
1030971128,0,Lease,Married,Some college,White,Medium,4,SL,0,Low,0,1,0,"$50,001-$75,000"
1030971560,0,Lease,Divorced/Widowed/Separated,College graduate,White,Medium,6,SV,1,Low,1,0,0,"$30,000-$50,000"
1030971586,0,Buy,Married,Some college,White,Short,6,SV,1,High,1,0,0,"$30,000-$50,000"
1030972833,0,Lease,Married,College graduate,African-American/Black,Medium,4,S,0,Medium,1,0,0,"$100,001-$150,000"
1030973961,1,Buy,Married,College graduate,White,Long,2,S,1,Medium,0,1,0,"$50,001-$75,000"
1030974992,1,Lease,Married,Some college,White,Long,6,SV,0,Medium,0,0,1,"$30,000-$50,000"
1030975220,0,Buy,Divorced/Widowed/Separated,Post graduate study/degree,Hispanic,Short,4,SR,1,High,1,1,0,"$50,001-$75,000"
1030975972,1,Buy,Married,Some college,African-American/Black,Long,2,S,1,Medium,1,0,0,"$30,000-$50,000"
1030976103,1,Buy,Married,Some college,White,Long,4,S,1,Low,0,1,0,"$30,000-$50,000"
1030976723,0,Buy,Married,Post graduate study/degree,White,Long,5,SR,0,Medium,1,1,0,"$50,001-$75,000"
1030976839,1,Lease,Single/Not Married,College graduate,White,Long,2,S,1,Medium,0,0,0,"$30,000-$50,000"
1030976944,0,Special,Married,College graduate,White,Short,3,SV,0,High,0,1,0,"$100,001-$150,000"
1030977304,0,Buy,Married,College graduate,White,Medium,4,SR,1,Low,1,1,0,"$100,001-$150,000"
1030977754,1,Buy,Married,College graduate,White,Long,3,SV,1,Low,1,0,0,"$75,001-$100,000"
1030977789,1,Buy,Single/Not Married,College graduate,Hispanic,Medium,2,SV,1,Medium,1,1,0,"Under $30,000"
1030977819,0,Buy,Married,College graduate,White,Medium,4,S,1,Medium,1,0,0,"$200,001-$250,000"
1030978696,0,Buy,Divorced/Widowed/Separated,College graduate,White,Short,4,SL,1,Low,1,0,0,"$30,000-$50,000"
1030978750,0,Buy,Divorced/Widowed/Separated,Some college,White,Medium,4,SR,1,High,0,1,0,"$30,000-$50,000"
1030978777,1,Buy,Divorced/Widowed/Separated,High school graduate or less,Hispanic,Long,5,SR,1,Low,1,0,0,"$30,000-$50,000"
1030979277,1,Special,Single/Not Married,College graduate,African-American/Black,Long,2,S,1,Medium,1,0,0,"Under $30,000"
1030979790,1,Buy,Single/Not Married,College graduate,African-American/Black,Long,2,SL,0,High,1,1,0,"$30,000-$50,000"
1030981301,0,Buy,Married,High school graduate or less,White,Long,4,SR,0,High,1,0,0,"$50,001-$75,000"
1030982154,1,Buy,Married,High school graduate or less,Hispanic,Medium,3,S,1,Low,1,0,0,"$30,000-$50,000"
1030982863,0,Buy,Married,Some college,White,Long,4,SV,1,Medium,1,1,0,"$50,001-$75,000"
1030985846,1,Special,Married,College graduate,White,Long,5,SL,1,Low,1,0,0,"$75,001-$100,000"
1030986133,0,Buy,Married,Some college,Hispanic,Short,4,S,0,Medium,0,0,0,"Under $30,000"
1030986168,0,Buy,Single/Not Married,College graduate,White,Long,2,SL,1,Low,1,1,0,"Under $30,000"
1010039651,0,Buy,Married,Some college,White,Long,5,SV,1,Low,1,0,1,"$50,001-$75,000"
1010039821,1,Buy,Married,Some college,White,Long,3,SV,1,Very High,0,1,0,"$30,000-$50,000"
1010040641,0,Buy,Married,Some college,Hispanic,Long,3,SR,1,Medium,0,0,1,"$75,001-$100,000"
1010041893,0,Buy,Divorced/Widowed/Separated,High school graduate or less,Hispanic,Long,4,SV,1,Medium,1,0,0,"$30,000-$50,000"
1010042393,1,Buy,Divorced/Widowed/Separated,Some college,White,Long,4,SV,1,Low,1,0,0,"$30,000-$50,000"
1010042830,0,Buy,Single/Not Married,Post graduate study/degree,Hispanic,Long,3,SV,0,Medium,0,1,0,"$75,001-$100,000"
1010043322,0,Buy,Married,High school graduate or less,White,Long,6,S,1,Low,1,0,0,"$30,000-$50,000"
1010043330,1,Buy,Single/Not Married,Some college,White,Short,5,SL,0,High,1,1,0,"$30,000-$50,000"
1010043373,0,Buy,Living With Sig Oth/Dom Prtnr,College graduate,White,Medium,2,SV,0,High,1,0,0,"$50,001-$75,000"
1010043519,0,Buy,Married,Some college,White,Long,6,S,1,Medium,0,0,1,"$30,000-$50,000"
1010044299,0,Buy,Single/Not Married,Some college,African-American/Black,Long,4,SR,1,Low,0,1,0,"$30,000-$50,000"
1010044710,0,Buy,Single/Not Married,Post graduate study/degree,White,Long,5,SV,0,High,1,1,0,"$75,001-$100,000"
1010046208,0,Buy,Married,College graduate,White,Short,3,SR,0,Medium,1,0,0,"$150,001-$200,000"
1010047760,1,Special,Single/Not Married,College graduate,White,Long,1,SL,1,Medium,1,0,0,"$50,001-$75,000"
1010047840,1,Buy,Divorced/Widowed/Separated,Some college,Hispanic,Long,4,S,1,Medium,1,0,1,"$30,000-$50,000"
1010048421,1,Buy,Living With Sig Oth/Dom Prtnr,High school graduate or less,Pref not to answer,Long,5,SV,1,Low,1,0,0,"$30,000-$50,000"
1010049010,0,Buy,Divorced/Widowed/Separated,Some college,White,Medium,5,SL,0,Low,0,1,0,"$75,001-$100,000"
1010049606,1,Lease,Divorced/Widowed/Separated,College graduate,White,Short,4,SR,1,Medium,0,1,1,"$100,001-$150,000"
