Respondent,First New,Type of Sale,Marital Status,Education,Race,Ownership,Age Group,Trim Level,Previous Model,Miles / Day,Drive-City,Drive-Highway,Drive-Rural,Income Group
1023511885,0,0,Divorced/Widowed/Separated,College graduate,Hispanic,Long,4,0,0,Medium,1,0,0,"$30,000-$50,000"
1023516526,0,0,Married,Some college,White,Long,5,2,1,Medium,0,0,1,"$75,001-$100,000"
1023523425,1,0,Single/Not Married,Some college,African-American/Black,Long,2,0,0,Medium,1,0,0,"$50,001-$75,000"
1023535300,0,0,Married,College graduate,White,Long,4,2,1,High,1,1,0,"$300,000+"
1023542063,0,0,Married,Post graduate study/degree,White,Long,6,2,1,Medium,0,0,1,"$50,001-$75,000"
1023542950,0,0,Married,Post graduate study/degree,White,Short,4,3,0,High,0,1,0,"$300,000+"
1023545356,0,0,Married,Some college,White,Short,4,1,0,Low,0,0,1,"$100,001-$150,000"
1023554843,0,0,Married,College graduate,White,Long,3,2,1,High,0,1,1,"$100,001-$150,000"
1023561297,0,1,Single/Not Married,College graduate,White,Long,3,2,1,Low,1,0,0,"$200,001-$250,000"
1023568267,0,0,Divorced/Widowed/Separated,Some college,White,Medium,6,2,1,Medium,0,0,1,"$50,001-$75,000"
1023572825,1,0,Married,Post graduate study/degree,White,Long,6,2,0,High,0,0,1,"$250,001-$299,999"
1023575085,1,0,Married,College graduate,African-American/Black,Long,3,3,1,High,0,1,0,"$150,001-$200,000"
1023575468,0,0,Single/Not Married,College graduate,White,Long,2,2,0,Low,1,0,0,"$50,001-$75,000"
1023588390,0,0,Married,College graduate,White,Medium,5,2,0,Low,1,0,0,"$75,001-$100,000"
1023590637,0,0,Married,College graduate,Hispanic,Medium,3,1,1,Medium,1,0,0,"$150,001-$200,000"
1023612061,0,0,Married,Some college,White,Short,4,3,0,Medium,1,0,0,"$100,001-$150,000"
1023615370,0,2,Married,College graduate,White,Long,4,3,1,Low,1,0,0,"$100,001-$150,000"
1023623926,0,1,Married,College graduate,White,Long,4,2,1,Medium,1,0,0,"$100,001-$150,000"
1023624787,0,0,Married,Post graduate study/degree,White,Medium,5,3,1,High,1,1,0,"$200,001-$250,000"
1023626003,0,0,Married,Post graduate study/degree,White,Long,3,3,1,Medium,0,1,0,"$300,000+"
1023627832,0,0,Married,Post graduate study/degree,Hispanic,Short,2,2,0,Low,0,0,1,"$75,001-$100,000"
1023632178,0,0,Married,Some college,White,Long,5,3,1,Medium,0,0,1,"$50,001-$75,000"
1023632739,0,0,Living With Sig Oth/Dom Prtnr,High school graduate or less,Asian,Long,3,3,0,High,0,1,0,"$50,001-$75,000"
1023636947,0,0,Married,High school graduate or less,White,Short,5,2,1,Low,0,0,1,"$75,001-$100,000"
1023640090,0,0,Married,Some college,White,Long,5,2,1,High,1,1,0,"$100,001-$150,000"
1023663278,0,0,Married,Post graduate study/degree,White,Short,3,3,1,Medium,1,1,0,"$100,001-$150,000"
1023669535,0,0,Married,Some college,White,Long,4,3,1,High,0,1,0,"$100,001-$150,000"
1023672056,0,0,Married,College graduate,Hispanic,Long,3,2,0,Low,1,0,0,"$100,001-$150,000"
1023673281,0,1,Married,Some college,Asian,Medium,3,2,0,Medium,1,0,0,"$50,001-$75,000"
1023673907,0,0,Married,High school graduate or less,White,Medium,5,2,1,Low,0,0,1,"$100,001-$150,000"
1023674318,0,0,Married,High school graduate or less,White,Long,3,0,0,Low,1,0,0,"$100,001-$150,000"
1023675373,0,0,Married,Post graduate study/degree,White,Long,2,1,0,Medium,1,0,0,"$30,000-$50,000"
1023677864,0,0,Married,Some college,White,Long,6,2,1,Low,0,1,0,"$75,001-$100,000"
1023702494,1,1,Married,College graduate,White,Long,2,2,0,Medium,1,0,0,"$200,001-$250,000"
1023744405,0,1,Married,College graduate,White,Medium,3,3,0,Low,0,1,0,"$200,001-$250,000"
1023767650,0,0,Married,High school graduate or less,Hispanic,Medium,4,2,0,Medium,0,0,0,"$30,000-$50,000"
1023794372,0,1,Married,College graduate,White,Medium,4,3,0,Medium,0,1,1,"$100,001-$150,000"
1023807431,0,0,Married,High school graduate or less,White,Long,2,0,0,High,0,0,1,"$50,001-$75,000"
1023808586,0,0,Married,Post graduate study/degree,White,Long,6,2,1,Low,0,0,1,"$75,001-$100,000"
1023817690,0,1,Single/Not Married,College graduate,White,Medium,2,1,0,High,1,1,0,"$50,001-$75,000"
1023818247,0,0,Married,Post graduate study/degree,Asian,Long,3,2,1,Low,1,0,0,"$250,001-$299,999"
1023823216,0,0,Married,College graduate,White,Long,3,3,0,Medium,0,0,1,"$100,001-$150,000"
1023824140,0,0,Married,Post graduate study/degree,White,Medium,2,1,1,Low,0,0,1,"$100,001-$150,000"
1023829958,0,2,Married,Post graduate study/degree,White,Long,3,2,1,Medium,1,1,0,"$75,001-$100,000"
1023834129,0,1,Married,Some college,White,Long,5,0,1,Low,1,0,0,"$100,001-$150,000"
1023846844,1,0,Living With Sig Oth/Dom Prtnr,College graduate,Hispanic,Long,2,1,1,Medium,1,1,0,"Under $30,000"
1023862971,0,0,Married,Some college,Hispanic,Medium,3,0,0,Medium,0,1,0,"$50,001-$75,000"
1023882042,0,1,Married,Post graduate study/degree,African-American/Black,Long,2,0,1,Medium,1,0,0,"$100,001-$150,000"
1023893400,0,0,Married,Some college,White,Medium,5,0,1,High,0,1,1,"$75,001-$100,000"
1023896019,1,0,Married,College graduate,White,Short,4,1,1,Medium,0,0,1,"$150,001-$200,000"
1023896906,0,0,Married,Post graduate study/degree,Asian,Long,3,3,1,Low,1,0,0,"$100,001-$150,000"
1023907681,0,0,Married,High school graduate or less,White,Long,5,2,1,Medium,1,0,0,"$100,001-$150,000"
1023927232,0,1,Married,College graduate,White,Medium,3,0,0,Medium,1,1,0,"$100,001-$150,000"
1023929430,0,0,Living With Sig Oth/Dom Prtnr,Post graduate study/degree,White,Medium,5,2,0,Low,1,0,0,"$100,001-$150,000"
1023937130,0,0,Married,High school graduate or less,White,Long,5,2,0,Medium,1,0,0,"$300,000+"
1023944242,1,0,Married,Some college,White,Long,2,0,1,High,0,1,0,"$50,001-$75,000"
1023949899,0,0,Single/Not Married,Post graduate study/degree,White,Short,5,1,1,Low,0,0,1,"$150,001-$200,000"
1023951532,0,0,Married,Some college,White,Long,5,2,0,Low,1,0,0,"$100,001-$150,000"
1023955392,0,1,Married,College graduate,White,Long,4,2,1,Medium,1,1,0,"$150,001-$200,000"
1023973803,0,0,Married,Post graduate study/degree,Hispanic,Long,2,2,1,Low,1,1,0,"$100,001-$150,000"
1023976802,0,1,Married,Post graduate study/degree,Hispanic,Medium,4,2,1,Medium,1,0,0,"$150,001-$200,000"
1023981695,0,1,Single/Not Married,High school graduate or less,White,Medium,2,1,0,Medium,0,1,0,"$30,000-$50,000"
1023986255,0,1,Married,College graduate,White,Long,3,3,1,Medium,1,0,0,"$300,000+"
1024001619,0,0,Married,High school graduate or less,White,Long,4,2,0,High,0,0,0,"$50,001-$75,000"
1024010359,1,0,Married,College graduate,White,Long,2,2,1,Medium,1,0,1,"$100,001-$150,000"
1024016640,0,0,Married,Post graduate study/degree,Hispanic,Long,3,3,1,Very High,1,0,0,"$250,001-$299,999"
1024019798,0,1,Married,College graduate,Hispanic,Medium,3,3,0,Medium,0,1,0,"$100,001-$150,000"
1024029327,0,0,Married,High school graduate or less,African-American/Black,Medium,3,0,0,High,0,1,0,"$50,001-$75,000"
1024052620,0,1,Married,College graduate,White,Long,3,0,0,Medium,0,0,1,"$50,001-$75,000"
1024054399,0,1,Married,Some college,White,Medium,4,1,0,Medium,1,0,0,"$75,001-$100,000"
1024060372,0,1,Married,High school graduate or less,White,Medium,5,2,0,Low,1,0,0,"$150,001-$200,000"
1024066125,0,0,Married,Post graduate study/degree,White,Short,5,2,0,Low,1,0,0,"$100,001-$150,000"
1024082279,0,0,Married,Post graduate study/degree,Asian,Medium,3,2,1,High,1,1,0,"$100,001-$150,000"
1024094838,0,0,Married,College graduate,White,Long,3,3,0,Low,1,0,0,"$150,001-$200,000"
1024104965,0,0,Married,Some college,White,Medium,4,3,1,Low,1,1,0,"$75,001-$100,000"
1024116041,0,0,Married,Some college,White,Medium,6,3,1,Medium,0,0,1,"$150,001-$200,000"
1024117234,0,2,Married,Post graduate study/degree,White,Long,6,3,1,Medium,0,1,0,"$100,001-$150,000"
1024118141,1,0,Living With Sig Oth/Dom Prtnr,College graduate,White,Medium,4,1,0,Medium,0,0,1,"$200,001-$250,000"
1024119520,0,0,Married,College graduate,Hispanic,Medium,3,2,0,Medium,1,0,0,"$100,001-$150,000"
1024128090,0,2,Single/Not Married,College graduate,Asian,Long,3,2,1,Low,1,0,0,"$200,001-$250,000"
1024134384,0,1,Married,Post graduate study/degree,White,Medium,4,2,0,Medium,1,0,0,"$100,001-$150,000"
1024139335,0,0,Married,Post graduate study/degree,White,Short,3,3,0,Low,1,0,0,"$100,001-$150,000"
1024149020,0,0,Living With Sig Oth/Dom Prtnr,College graduate,White,Short,3,1,1,High,1,0,0,"$50,001-$75,000"
1024151653,0,0,Divorced/Widowed/Separated,Some college,White,Long,2,1,1,Low,1,0,0,"$30,000-$50,000"
1024156744,0,1,Married,College graduate,White,Medium,6,2,0,Low,0,1,0,"$300,000+"
1024162523,0,0,Married,College graduate,Asian,Long,2,3,1,Medium,1,1,1,"$30,000-$50,000"
1024167762,0,2,Married,Post graduate study/degree,White,Long,4,2,1,Medium,0,0,1,"$100,001-$150,000"
1024170518,0,0,Married,College graduate,White,Medium,3,2,1,Low,1,0,0,"$250,001-$299,999"
1024171514,1,2,Married,College graduate,Asian,Long,2,2,1,Medium,1,1,0,"$75,001-$100,000"
1024180181,0,0,Married,Post graduate study/degree,White,Long,3,0,1,Medium,0,1,0,"$100,001-$150,000"
1024181927,1,0,Single/Not Married,College graduate,African-American/Black,Long,2,1,1,Low,1,0,0,"$30,000-$50,000"
1024190403,0,0,Married,Some college,White,Long,3,1,1,Low,0,1,0,"$75,001-$100,000"
1024193321,0,0,Married,College graduate,White,Medium,3,3,1,Low,1,0,1,"$150,001-$200,000"
1024200123,1,1,Married,College graduate,White,Short,2,0,1,Medium,0,1,0,"$30,000-$50,000"
1024200212,0,0,Married,Some college,Other,Short,5,3,1,Medium,1,0,0,"$150,001-$200,000"
1024203637,1,0,Single/Not Married,Post graduate study/degree,Hispanic,Long,2,2,1,Medium,1,0,0,"$30,000-$50,000"
1024208426,0,0,Married,Post graduate study/degree,Other,Long,3,3,1,Low,1,0,0,"$150,001-$200,000"
1024230790,0,1,Married,College graduate,White,Medium,3,0,0,Medium,1,0,0,"$100,001-$150,000"
1024231916,0,0,Married,College graduate,White,Medium,6,1,1,Low,1,0,0,"$100,001-$150,000"
1024233412,1,0,Single/Not Married,High school graduate or less,African-American/Black,Medium,2,1,0,Medium,0,1,0,"$50,001-$75,000"
1024243086,0,1,Married,Post graduate study/degree,White,Medium,3,2,0,Low,1,1,0,"$100,001-$150,000"
1024245631,0,1,Married,Post graduate study/degree,White,Medium,3,2,1,Medium,1,1,0,"$100,001-$150,000"
1024254096,0,0,Married,College graduate,White,Short,5,2,0,Low,1,1,0,"$100,001-$150,000"
1024256820,0,1,Married,High school graduate or less,White,Medium,4,2,0,Medium,1,0,0,"$150,001-$200,000"
1024263818,0,0,Married,Other,Hispanic,Long,4,1,1,High,0,1,0,"$100,001-$150,000"
1024276812,0,0,Married,High school graduate or less,White,Long,6,0,1,Low,1,1,0,"$50,001-$75,000"
1024278203,0,0,Married,High school graduate or less,White,Short,5,2,0,Medium,1,0,0,"$150,001-$200,000"
1024283134,0,0,Married,Some college,African-American/Black,Long,6,2,1,Low,0,1,1,"$50,001-$75,000"
1024283819,1,0,Married,Some college,White,Medium,4,1,0,High,0,0,1,"$50,001-$75,000"
1024284556,0,0,Married,College graduate,White,Long,3,3,1,Low,0,1,1,"$150,001-$200,000"
1024289396,0,0,Married,Some college,White,Long,2,2,1,High,1,0,0,"$150,001-$200,000"
1024293431,0,0,Married,Post graduate study/degree,White,Medium,3,2,1,Low,1,0,0,"$100,001-$150,000"
1024294136,0,0,Divorced/Widowed/Separated,College graduate,White,Medium,3,1,0,Very High,0,1,0,"$100,001-$150,000"
1024295647,0,1,Married,College graduate,Hispanic,Long,2,0,0,Low,1,0,0,"$50,001-$75,000"
1024297674,0,0,Married,Some college,White,Short,3,3,0,Medium,1,0,0,"$75,001-$100,000"
1024298778,0,0,Divorced/Widowed/Separated,College graduate,White,Long,5,2,1,Medium,0,1,0,"$30,000-$50,000"
1024299480,0,0,Married,Some college,White,Long,4,2,1,Medium,1,0,0,"$100,001-$150,000"
1024299499,0,0,Married,Post graduate study/degree,Asian,Long,3,1,1,Medium,1,1,0,"$75,001-$100,000"
1024301965,0,0,Married,College graduate,White,Long,5,2,1,Low,0,1,1,"$150,001-$200,000"
1024310190,0,0,Married,Post graduate study/degree,White,Short,6,2,0,Low,1,0,0,"$75,001-$100,000"
1024318752,0,0,Married,Some college,White,Medium,3,2,1,High,1,1,0,"$75,001-$100,000"
1024319333,0,1,Married,Post graduate study/degree,White,Long,3,2,0,Medium,1,0,0,"$200,001-$250,000"
1024321532,0,0,Married,Post graduate study/degree,White,Medium,4,1,1,Medium,0,1,0,"$150,001-$200,000"
1024322679,1,1,Married,College graduate,White,Medium,3,3,1,Medium,1,0,0,"$100,001-$150,000"
1024336360,0,0,Married,Some college,White,Medium,3,1,1,High,1,1,0,"$75,001-$100,000"
1024336815,0,2,Married,Some college,White,Short,4,1,0,Very High,1,1,0,"$50,001-$75,000"
1024345318,0,0,Divorced/Widowed/Separated,High school graduate or less,White,Short,5,0,0,Medium,0,1,0,"$30,000-$50,000"
1024351920,0,0,Married,College graduate,Hispanic,Long,4,3,1,Medium,1,1,0,"$100,001-$150,000"
1024361410,0,0,Married,College graduate,White,Long,4,3,1,Low,1,0,0,"$300,000+"
1024363979,0,0,Married,High school graduate or less,Hispanic,Long,3,0,1,Medium,1,0,0,"$30,000-$50,000"
1024387622,0,0,Married,Some college,White,Long,2,2,1,Low,1,1,0,"$250,001-$299,999"
1024388394,0,2,Married,Post graduate study/degree,White,Long,6,2,1,Medium,1,0,0,"$150,001-$200,000"
1024416819,1,0,Married,College graduate,White,Long,4,1,1,High,1,1,0,"$100,001-$150,000"
1024424838,0,1,Living With Sig Oth/Dom Prtnr,College graduate,White,Medium,4,2,0,Low,1,0,0,"$200,001-$250,000"
1024439169,1,0,Married,College graduate,White,Long,2,2,1,Medium,1,0,0,"$200,001-$250,000"
1024439649,0,0,Living With Sig Oth/Dom Prtnr,Some college,African-American/Black,Long,3,3,0,Medium,1,0,0,"$75,001-$100,000"
1024454818,0,0,Married,College graduate,White,Long,3,2,1,Low,0,0,1,"$75,001-$100,000"
1024455873,0,0,Married,College graduate,White,Long,6,0,1,Low,1,0,0,"$100,001-$150,000"
1024458678,0,0,Married,College graduate,African-American/Black,Medium,3,1,1,Medium,1,0,0,"$100,001-$150,000"
1024467650,1,0,Living With Sig Oth/Dom Prtnr,High school graduate or less,White,Long,3,0,1,Medium,1,0,0,"$30,000-$50,000"
1024475440,0,0,Married,Some college,White,Medium,3,2,1,Medium,1,0,0,"$75,001-$100,000"
1024475904,0,0,Married,Post graduate study/degree,Asian,Long,6,2,1,Medium,1,0,0,"$100,001-$150,000"
1024487163,0,0,Married,College graduate,White,Medium,4,3,1,High,0,1,0,"$300,000+"
1024489581,0,0,Divorced/Widowed/Separated,Some college,White,Long,6,2,1,Low,1,0,0,"$50,001-$75,000"
1024489956,0,2,Married,Some college,White,Long,4,2,1,Low,1,0,0,"$75,001-$100,000"
1024493422,0,2,Married,Post graduate study/degree,Native American,Long,3,3,1,Low,1,0,0,"$250,001-$299,999"
1024495085,0,0,Married,College graduate,White,Medium,4,2,1,Medium,1,0,0,"$100,001-$150,000"
1024497819,0,1,Married,Some college,White,Medium,5,1,0,High,1,0,0,"$75,001-$100,000"
1024502707,1,1,Married,College graduate,White,Medium,5,2,0,Low,1,0,0,"$30,000-$50,000"
1024508438,0,1,Married,College graduate,White,Long,2,1,1,Medium,0,0,1,"$75,001-$100,000"
1024508454,0,1,Married,College graduate,White,Medium,3,1,0,Low,1,0,0,"$50,001-$75,000"
1024508535,0,0,Married,Some college,White,Short,3,3,1,Low,0,1,0,"$100,001-$150,000"
1024508705,0,0,Divorced/Widowed/Separated,Post graduate study/degree,White,Medium,6,3,1,Medium,1,1,0,"$100,001-$150,000"
1024510068,0,0,Married,College graduate,White,Long,3,1,0,Medium,1,0,0,"$150,001-$200,000"
1024511412,0,0,Married,College graduate,White,Medium,4,2,0,Low,0,1,0,"$50,001-$75,000"
1024518549,1,0,Married,Post graduate study/degree,White,Long,2,2,1,High,0,0,1,"$100,001-$150,000"
1024519634,0,0,Single/Not Married,Some college,White,Long,5,2,1,Low,1,0,0,"$30,000-$50,000"
1024529982,0,0,Married,Post graduate study/degree,White,Medium,4,3,1,Low,1,0,0,"$150,001-$200,000"
1024532363,0,0,Divorced/Widowed/Separated,High school graduate or less,White,Long,6,2,0,Low,0,0,1,"$50,001-$75,000"
1024536962,0,0,Married,College graduate,White,Long,3,2,1,Medium,1,0,0,"$100,001-$150,000"
1024537780,0,0,Married,Post graduate study/degree,White,Long,3,3,1,High,1,0,0,"$250,001-$299,999"
1024538132,0,0,Married,College graduate,White,Long,2,1,1,Medium,1,0,0,"$50,001-$75,000"
1024550639,0,0,Single/Not Married,College graduate,White,Long,4,3,1,Medium,1,0,0,"$100,001-$150,000"
1024554642,0,0,Divorced/Widowed/Separated,College graduate,White,Medium,4,0,1,Medium,0,0,1,"Under $30,000"
1024556122,1,0,Married,College graduate,White,Medium,4,0,1,Medium,1,0,0,"$75,001-$100,000"
1024559059,0,0,Married,College graduate,Hispanic,Long,2,0,1,Low,1,0,0,"$30,000-$50,000"
1024565849,0,1,Married,College graduate,White,Medium,3,2,1,Medium,0,1,1,"$200,001-$250,000"
1024568481,0,0,Married,College graduate,Hispanic,Long,3,2,1,Low,1,1,0,"$100,001-$150,000"
1024581780,0,0,Married,College graduate,Asian,Long,3,3,0,Low,1,0,0,"$100,001-$150,000"
1024583081,0,0,Married,College graduate,White,Long,5,1,0,Low,0,1,1,"$100,001-$150,000"
1024586854,0,0,Divorced/Widowed/Separated,Some college,White,Short,6,2,1,Medium,0,0,1,"$75,001-$100,000"
1024588113,0,2,Married,College graduate,African-American/Black,Long,3,2,0,Low,1,0,0,"$30,000-$50,000"
